######################### Start train #########################
[Learner] Update_iteration: 45600  	 | actor_loss : 1926.350 	 | critic_loss : 295.437
[Learner] Update_iteration: 45800  	 | actor_loss : 1941.218 	 | critic_loss : 1980.689
[Learner] Update_iteration: 46000  	 | actor_loss : 1953.803 	 | critic_loss : 1242.132
[Learner] Update_iteration: 46200  	 | actor_loss : 1950.503 	 | critic_loss : 325.459
[Learner] Update_iteration: 46400  	 | actor_loss : 1956.808 	 | critic_loss : 132.275
[Learner] Update_iteration: 46600  	 | actor_loss : 1963.768 	 | critic_loss : 70.803
[Learner] Update_iteration: 46800  	 | actor_loss : 1973.155 	 | critic_loss : 34.367
[Learner] Update_iteration: 47000  	 | actor_loss : 1981.824 	 | critic_loss : 34.293
[Learner] Update_iteration: 47200  	 | actor_loss : 1992.485 	 | critic_loss : 42.176
[Learner] Update_iteration: 47400  	 | actor_loss : 2001.768 	 | critic_loss : 33.958
[Learner] Update_iteration: 47600  	 | actor_loss : 2010.289 	 | critic_loss : 49.022
[Learner] Update_iteration: 47800  	 | actor_loss : 2021.667 	 | critic_loss : 84.302
[Learner] Update_iteration: 48000  	 | actor_loss : 2035.183 	 | critic_loss : 502.544
[Learner] Update_iteration: 48200  	 | actor_loss : 2055.772 	 | critic_loss : 2357.410
[Learner] Update_iteration: 48400  	 | actor_loss : 2068.816 	 | critic_loss : 1634.530
[Learner] Update_iteration: 48600  	 | actor_loss : 2064.704 	 | critic_loss : 491.708
[Learner] Update_iteration: 48800  	 | actor_loss : 2065.500 	 | critic_loss : 169.146
[Learner] Update_iteration: 49000  	 | actor_loss : 2078.899 	 | critic_loss : 275.662
[Learner] Update_iteration: 49200  	 | actor_loss : 2087.685 	 | critic_loss : 250.442
[Learner] Update_iteration: 49400  	 | actor_loss : 2096.077 	 | critic_loss : 64.457
[Learner] Update_iteration: 49600  	 | actor_loss : 2113.212 	 | critic_loss : 456.684
[Learner] Update_iteration: 49800  	 | actor_loss : 2119.212 	 | critic_loss : 317.927
[Learner] Update_iteration: 50000  	 | actor_loss : 2126.426 	 | critic_loss : 90.945
[Learner] Update_iteration: 50200  	 | actor_loss : 2142.978 	 | critic_loss : 517.708
